# x,y
-1.6147,1.0088
-1.6351,0.9631
-1.6536,0.9167
-1.6704,0.8696
-1.6854,0.8219
-1.6985,0.7736
-1.7097,0.7249
-1.7190,0.6757
-1.7265,0.6263
-1.7320,0.5766
-1.7356,0.5267
-1.7373,0.4768
-1.7371,0.4267
-1.7349,0.3768
-1.7309,0.3270
-1.7249,0.2773
-1.7169,0.2279
-1.7072,0.1789
-1.6955,0.1303
-1.6820,0.0821
-1.6670,0.0344
-1.6510,-0.0131
-1.6343,-0.0602
-1.6172,-0.1073
-1.6000,-0.1544
-1.5829,-0.2014
-1.5658,-0.2485
-1.5486,-0.2956
-1.5315,-0.3426
-1.5144,-0.3897
-1.4973,-0.4368
-1.4801,-0.4838
-1.4630,-0.5309
-1.4459,-0.5779
-1.4287,-0.6250
-1.4116,-0.6721
-1.3945,-0.7191
-1.3774,-0.7662
-1.3602,-0.8133
-1.3431,-0.8603
-1.3260,-0.9074
-1.3088,-0.9544
-1.2917,-1.0015
-1.2746,-1.0486
-1.2574,-1.0956
-1.2403,-1.1427
-1.2232,-1.1898
-1.2060,-1.2368
-1.1884,-1.2837
-1.1700,-1.3302
-1.1506,-1.3763
-1.1297,-1.4218
-1.1071,-1.4664
-1.0828,-1.5101
-1.0569,-1.5528
-1.0293,-1.5945
-1.0001,-1.6352
-0.9694,-1.6746
-0.9372,-1.7129
-0.9035,-1.7498
-0.8685,-1.7855
-0.8321,-1.8198
-0.7944,-1.8526
-0.7554,-1.8840
-0.7153,-1.9139
-0.6741,-1.9421
-0.6318,-1.9688
-0.5885,-1.9939
-0.5443,-2.0172
-0.4992,-2.0388
-0.4533,-2.0587
-0.4067,-2.0768
-0.3594,-2.0931
-0.3115,-2.1075
-0.2631,-2.1201
-0.2143,-2.1308
-0.1651,-2.1396
-0.1155,-2.1465
-0.0658,-2.1516
-0.0159,-2.1547
0.0341,-2.1558
0.0841,-2.1551
0.1340,-2.1524
0.1838,-2.1478
0.2334,-2.1413
0.2827,-2.1328
0.3316,-2.1225
0.3801,-2.1103
0.4281,-2.0963
0.4755,-2.0804
0.5223,-2.0627
0.5683,-2.0432
0.6136,-2.0219
0.6580,-1.9990
0.7015,-1.9743
0.7440,-1.9480
0.7855,-1.9200
0.8258,-1.8905
0.8650,-1.8594
0.9030,-1.8269
0.9397,-1.7929
0.9750,-1.7575
1.0090,-1.7208
1.0415,-1.6828
1.0725,-1.6436
1.1021,-1.6033
1.1300,-1.5618
1.1563,-1.5193
1.1809,-1.4757
1.2039,-1.4313
1.2251,-1.3860
1.2446,-1.3400
1.2623,-1.2932
1.2781,-1.2458
1.2921,-1.1978
1.3043,-1.1493
1.3146,-1.1004
1.3230,-1.0511
1.3295,-1.0015
1.3341,-0.9517
1.3367,-0.9017
1.3375,-0.8517
1.3363,-0.8018
1.3331,-0.7519
1.3281,-0.7021
1.3211,-0.6526
1.3123,-0.6034
1.3015,-0.5545
1.2889,-0.5061
1.2747,-0.4582
1.2591,-0.4106
1.2427,-0.3633
1.2257,-0.3162
1.2086,-0.2691
1.1915,-0.2221
1.1743,-0.1750
1.1572,-0.1280
1.1401,-0.0809
1.1230,-0.0338
1.1058,0.0132
1.0887,0.0603
1.0716,0.1074
1.0544,0.1544
1.0373,0.2015
1.0202,0.2485
1.0030,0.2956
0.9859,0.3427
0.9688,0.3897
0.9517,0.4368
0.9345,0.4838
0.9174,0.5309
0.9003,0.5780
0.8831,0.6250
0.8660,0.6721
0.8489,0.7192
0.8318,0.7662
0.8146,0.8133
0.7973,0.8603
0.7793,0.9070
0.7605,0.9534
0.7404,0.9991
0.7186,1.0442
0.6952,1.0884
0.6701,1.1316
0.6433,1.1738
0.6149,1.2150
0.5850,1.2550
0.5535,1.2939
0.5205,1.3315
0.4862,1.3678
0.4504,1.4028
0.4134,1.4364
0.3751,1.4685
0.3355,1.4991
0.2948,1.5282
0.2531,1.5557
0.2103,1.5815
0.1665,1.6057
0.1218,1.6282
0.0763,1.6490
0.0301,1.6680
-0.0169,1.6851
-0.0645,1.7005
-0.1126,1.7140
-0.1612,1.7257
-0.2103,1.7354
-0.2597,1.7433
-0.3093,1.7493
-0.3591,1.7533
-0.4091,1.7555
-0.4591,1.7557
-0.5091,1.7540
-0.5590,1.7503
-0.6086,1.7448
-0.6581,1.7373
-0.7072,1.7279
-0.7559,1.7167
-0.8042,1.7035
-0.8519,1.6886
-0.8990,1.6718
-0.9454,1.6532
-0.9911,1.6328
-1.0359,1.6107
-1.0799,1.5868
-1.1229,1.5613
-1.1649,1.5342
-1.2058,1.5054
-1.2456,1.4751
-1.2842,1.4433
-1.3215,1.4101
-1.3575,1.3754
-1.3922,1.3393
-1.4254,1.3020
-1.4572,1.2634
-1.4875,1.2236
-1.5162,1.1827
-1.5433,1.1406
-1.5688,1.0976
-1.5926,1.0536
